review_item_id,domain,review_prompt,status,reviewer_comments
HYP-CR-001,Source identity,"Confirm the Trust pathway title, owner, version, issue date and review date.",Pending,
HYP-CR-002,Source provenance,"Decide whether the two classification images are acceptable sources and record their provenance.",Pending,
HYP-CR-003,Severity,"Confirm the mild, moderate and severe sodium bands and decimal-value handling.",Pending,
HYP-CR-004,Fluid status,"Confirm the Hypovolaemic, Euvolaemic and Hypervolaemic branch structure.",Pending,
HYP-CR-005,Symptoms,"Confirm the six source-listed cerebral-oedema-associated signs and their branch meaning.",Pending,
HYP-CR-006,Emergency treatment,"Confirm the initial hypertonic-saline instruction, concentration, volume and route wording.",Pending,
HYP-CR-007,Correction safety,"Confirm the 4-6 mmol/L target and maximum 10 mmol/L correction in 24 hours.",Pending,
HYP-CR-008,Emergency response,"Resolve the undefined 4.0-5.0 mmol/L four-hour response interval.",Pending,
HYP-CR-009,ODS,"Supply or approve criteria for high ODS risk and confirm the monitoring branch.",Pending,
HYP-CR-010,Monitoring,"Confirm hourly monitoring until a 4-6 mmol/L increase and then every 4-6 hours.",Pending,
HYP-CR-011,Hypovolaemia,"Confirm cause review, 0.9% sodium chloride volume, duration and emergency add-on placement.",Pending,
HYP-CR-012,Euvolaemia,"Confirm how SIADH and water intoxication must be established before management selection.",Pending,
HYP-CR-013,SIADH,"Supply or identify the approved separate SIADH pathway; confirm that no local SIADH treatment is generated.",Pending,
HYP-CR-014,Hypervolaemia,"Confirm senior review, urine dip and underlying-cause wording and whether additional management is required.",Pending,
HYP-CR-015,Serum osmolality,"Resolve exact equality at 275 and 295 mOsm/kg.",Pending,
HYP-CR-016,Urine osmolality,"Resolve exact equality at 100 mOsm/kg.",Pending,
HYP-CR-017,Urine sodium,"Resolve exact equality at 40 mEq/L and the unstated euvolaemic value at or below 40 mEq/L.",Pending,
HYP-CR-018,Cause patterns,"Confirm that all cause outputs are compatible categories rather than diagnoses.",Pending,
HYP-CR-019,User interface,"Confirm clinical priority, warnings, terminology, mobile layout and absence of visible internal references.",Pending,
HYP-CR-020,Governance,"Record approved, changes requested or rejected; name reviewers and date the decision.",Pending,
