review_item_id,domain,review_prompt,status,reviewer_comments
DKA-CR-001,Source identity,Confirm source title authors version issue date and source file hash,Pending,
DKA-CR-002,Source currentness,Confirm a current approved Trust pathway or document a dated clinical currentness decision,Pending,
DKA-CR-003,Source comparison,Review the current JBDS adult DKA guideline against the supplied Trust document,Pending,
DKA-CR-004,Reuse permission,Confirm permission for public display of source-derived treatment content,Pending,
DKA-CR-005,Adult eligibility,Confirm the age boundary and exclusion of people younger than 18 years,Pending,
DKA-CR-006,Initial assessment,Confirm ABCDE GCS early warning IV access investigations and escalation for failed access,Pending,
DKA-CR-007,Diagnosis,Confirm glucose ketone pH and bicarbonate thresholds with exact equality handling,Pending,
DKA-CR-008,Initial fluids,Resolve the exact 90 mmHg repeat-pressure boundary and approve all fluid branches,Pending,
DKA-CR-009,Initial insulin,Confirm weight-based formula 15 units per hour maximum preparation and prescribing precision,Pending,
DKA-CR-010,Further assessment,Confirm critical-care criteria including respiratory baseline and equality boundaries,Pending,
DKA-CR-011,Fluid replacement,Confirm timed saline sequence glucose trigger and individualised caution contexts,Pending,
DKA-CR-012,Potassium,Confirm the three potassium bands bag content maximum infusion rate and urgent low-potassium response,Pending,
DKA-CR-013,Monitoring,Confirm hourly measurements oxygen airway vomiting and urine-output actions,Pending,
DKA-CR-014,Oliguria calculation,Confirm the 0.5 mL per kg per hour threshold and exact-boundary handling,Pending,
DKA-CR-015,Response calculation,Confirm one-hour ketone bicarbonate and glucose changes with OR and AND logic,Pending,
DKA-CR-016,Insulin escalation,Reconcile the Step 8 rate-increase text with the Step 4 maximum before automation,Pending,
DKA-CR-017,Resolution conflict,Resolve the Step 9 versus hourly-chart AND OR wording and bicarbonate equality,Pending,
DKA-CR-018,Transition readiness,Confirm eating drinking and metabolic stability criteria and any required checks,Pending,
DKA-CR-019,Insulin conversion,Confirm new basal bolus mixed and pump branches plus overlap timing,Pending,
DKA-CR-020,Fail closed behavior,Confirm stops for missing inputs uncertain criteria unsupported context and unresolved source conflict,Pending,
DKA-CR-021,Calculation audit,Review formula operands source limits precision and result traceability,Pending,
DKA-CR-022,Interface,Review terminology warnings accessibility mobile layout and absence of visible internal source IDs,Pending,
DKA-CR-023,Privacy,Confirm synthetic-only local preview and no patient entry storage or server submission,Pending,
DKA-CR-024,Deployment gate,Confirm public builds hide source-derived technical treatment details,Pending,
DKA-CR-025,Governance,Record named clinical reviewers roles dates decision and required changes,Pending,
