review_item_id,domain,review_prompt,status,reviewer_comments
HK-CR-001,Source identity,"Confirm the Trust pathway title, authors, version, issue date and review date.",Pending,
HK-CR-002,Source currency,"Confirm whether the November 2026 review date and local governance permit continued project use.",Pending,
HK-CR-003,Supporting evidence,"Supply and reconcile the cited August 2023 UK Kidney Association guidance.",Pending,
HK-CR-004,Severity,"Confirm mild, moderate and severe potassium bands and the fail-closed decimal-gap handling.",Pending,
HK-CR-005,ECG,"Confirm the ECG threshold, six listed ECG changes and mutually exclusive uncertainty choices.",Pending,
HK-CR-006,Seven-plus safeguard,"Confirm the do-not-wait-for-ECG behavior at or above 7.0 mmol/L.",Pending,
HK-CR-007,Moderate selection,"Define or approve the safe behavior when moderate Hyperkalaemia has no listed ECG change.",Pending,
HK-CR-008,Calcium route,"Resolve large peripheral vein versus large-bore IV access wording.",Pending,
HK-CR-009,Calcium timing,"Resolve the first-15-minutes versus first-15-to-30-minutes timing wording.",Pending,
HK-CR-010,Calcium repeat,"Resolve duplicate page-one rows and confirm the page-two repeat-after-five-minutes workflow.",Pending,
HK-CR-011,Digoxin,"Confirm the digoxin-toxicity administration-duration branch and unable-to-determine behavior.",Pending,
HK-CR-012,Insulin and glucose,"Confirm insulin, glucose, volume and infusion-duration wording.",Pending,
HK-CR-013,Low baseline glucose,"Confirm the below-7.0 mmol/L follow-on glucose threshold and regimen.",Pending,
HK-CR-014,Salbutamol,"Confirm standard, ischaemic-heart-disease, tachycardia and uncertain-context branches.",Pending,
HK-CR-015,Sodium zirconium,"Resolve the page-one and page-two initiation conflict before any regimen is implemented.",Pending,
HK-CR-016,Life-threatening criteria,"Define the source's life-threatening Hyperkalaemia term or approve continued fail-closed behavior.",Pending,
HK-CR-017,Empirical arrhythmia treatment,"Supply an approved regimen or confirm that no instruction should be generated.",Pending,
HK-CR-018,Adjuncts,"Confirm bicarbonate, furosemide and dialysis conditions and wording.",Pending,
HK-CR-019,Escalation,"Confirm cardiac monitoring, outreach, senior and renal-team escalation criteria.",Pending,
HK-CR-020,Potassium monitoring,"Confirm mild, moderate and severe potassium monitoring schedules.",Pending,
HK-CR-021,Glucose monitoring,"Confirm the capillary blood glucose schedule after insulin/glucose treatment.",Pending,
HK-CR-022,Cause prevention,"Confirm the listed causes and medication/diet recurrence-prevention actions.",Pending,
HK-CR-023,User interface,"Confirm clinical priority, terminology, mobile layout, accessibility and absence of visible internal references.",Pending,
HK-CR-024,Governance,"Record approved, changes requested or rejected; name reviewers and date the decision.",Pending,
