review_item_id,domain,review_prompt,status,reviewer_comments
HC-CR-001,Source identity,"Confirm the Trust pathway title, authors, version, issue date and review date.",Pending,
HC-CR-002,Source currency,"Confirm whether the October 2027 review date and local governance permit project use.",Pending,
HC-CR-003,Definition,"Confirm that adjusted calcium below 2.2 mmol/L defines Hypocalcaemia and that albumin adjustment is required.",Pending,
HC-CR-004,Severity,"Confirm the moderate/severe and mild bands and fail-closed handling of the 2.1 to 2.2 mmol/L source gap.",Pending,
HC-CR-005,Management boundary,"Resolve the exact 1.9 mmol/L mismatch between assessment severity and management wording.",Pending,
HC-CR-006,Symptoms,"Confirm the listed symptom and ECG-change groups and the explicit rapid-fall assessment.",Pending,
HC-CR-007,Investigations,"Confirm the diagnostic investigation sequence and use of local laboratory reference states.",Pending,
HC-CR-008,ECG visual,"Approve a reusable ECG visual or confirm that the labelled placeholder must remain.",Pending,
HC-CR-009,Transfusion,"Supply or approve the applicable massive-blood-loss pathway before transfusion-related treatment is generated.",Pending,
HC-CR-010,Rhabdomyolysis,"Confirm the expert-advice safeguard and the stop behavior when advice has not been obtained.",Pending,
HC-CR-011,Pancreatitis,"Confirm the acute-pancreatitis cause prompt and its non-inferential wording.",Pending,
HC-CR-012,Renal safeguards,"Confirm renal-failure, dialysis and end-stage renal-failure safeguards across oral and intravenous branches.",Pending,
HC-CR-013,Surgery,"Confirm thyroidectomy and parathyroidectomy branches, postoperative monitoring and renal-physician discussion.",Pending,
HC-CR-014,Hypomagnesaemia,"Supply the referenced local magnesium pathway or approve the current no-dose stop behavior.",Pending,
HC-CR-015,Hypoparathyroidism,"Confirm the postoperative and other-cause branches and alfacalcidol safeguards.",Pending,
HC-CR-016,Medicines,"Confirm medicine-related causes and that the workflow does not infer causality.",Pending,
HC-CR-017,Mild treatment,"Confirm oral calcium selection, exact doses, follow-up thresholds and postoperative escalation.",Pending,
HC-CR-018,Emergency treatment,"Confirm initial and repeat intravenous calcium gluconate instructions and monitoring.",Pending,
HC-CR-019,Continuous infusion,"Define or approve the explicit infusion-need decision and renal exclusions.",Pending,
HC-CR-020,Discharge,"Confirm the limited source-defined discharge wording and one-week calcium recheck.",Pending,
HC-CR-021,Unsupported states,"Confirm stops for mild symptomatic, severe asymptomatic, uncertain and incomplete cases.",Pending,
HC-CR-022,Source limitations,"Resolve the missing calcium-gluconate monograph, supporting-pathway mismatch and reuse status.",Pending,
HC-CR-023,User interface,"Confirm clinical priority, terminology, mobile layout, accessibility and absence of visible internal references.",Pending,
HC-CR-024,Governance,"Record approved, changes requested or rejected; name reviewers and date the decision.",Pending,
