rule_id,electrolyte,condition,context,trigger_summary,required_inputs,output_priority,output_status,management_output,limitations,nice_source_ids,nice_sections,active_for_automation,clinician_review_status
NICE-GLOBAL-ASSESS-001,All,All abnormalities,Adults receiving IV fluid therapy in hospital,An adult receiving IV fluids in hospital requires fluid and electrolyte assessment or review.,"History; current medicines; fluid status; NEWS/vital signs; fluid balance; weight; urea, creatinine and electrolytes.",Clinical review,Specific NICE assessment guidance,"Assess and manage fluid and electrolyte needs at every ward review. Keep a 24-hour fluid and electrolyte prescription and monitoring plan, reviewed daily by an expert initially.",Applies only within the adult hospital IV-fluid scope of CG174 and does not provide a condition-specific treatment pathway.,NICE-CG174,"1.1.1, 1.1.6",Yes,Pending
NICE-NA-HYPO-IV-001,Sodium,Hyponatraemia,During or within 24 hours of IV-fluid therapy,"Sodium <130 mmol/L, no other likely cause, and temporally related to IV-fluid therapy.",Sodium; baseline sodium; IV-fluid type/volume; timing; fluid status; renal function; alternative causes.,Urgent review,"NICE detection, reassessment and escalation",Reassess the IV-fluid management plan and adjust the prescription for the sodium deficit or excess. Seek expert help for a complex imbalance and report a clear IV-fluid mismanagement incident through the standard critical-incident process.,No definitive sodium-correction regimen is provided by CG174.,NICE-CG174,"1.2.4, 1.2.6, 1.5.1, 1.5.2, Table 1",Yes,Pending
NICE-NA-HYPER-IV-001,Sodium,Hypernatraemia,During or within 24 hours of IV-fluid therapy,"Sodium >=155 mmol/L, baseline normal/low, IV regimen included 0.9% sodium chloride, and no other likely cause.",Sodium; baseline sodium; IV-fluid composition; timing; fluid status; renal function; alternative causes.,Urgent review,"NICE detection, reassessment and escalation",Reassess the IV-fluid management plan and adjust the prescription for the sodium deficit or excess. Seek expert help for the imbalance and report a clear IV-fluid mismanagement incident through the standard critical-incident process.,No definitive sodium-correction regimen is provided by CG174.,NICE-CG174,"1.2.4, 1.2.6, 1.5.1, 1.5.2, Table 1",Yes,Pending
NICE-K-HYPO-IV-001,Potassium,Hypokalaemia,During or within 24 hours of IV-fluid therapy,"Potassium <3.0 mmol/L, likely related to IV fluids without adequate potassium provision, and no other obvious cause.",Potassium; baseline potassium; IV-fluid prescription; timing; renal function; medicines; other potassium losses.,Urgent review,NICE detection and IV-plan reassessment,"Reassess and adjust the IV-fluid and electrolyte prescription, then continue monitoring. Do not add potassium to IV-fluid bags. Report a clear IV-fluid mismanagement incident through the standard critical-incident process.",No replacement dose is generated.,NICE-CG174,"1.2.4, 1.2.6, 1.4.1, 1.4.4, 1.5.1, Table 1",Yes,Pending
NICE-K-HYPER-IV-001,Potassium,Hyperkalaemia,During or within 24 hours of IV-fluid therapy,Potassium >5.5 mmol/L with no other obvious cause and temporal relation to IV-fluid therapy.,Potassium; baseline potassium; IV-fluid prescription; timing; renal function; medicines; alternative causes.,Urgent review,NICE detection and IV-plan reassessment,"Reassess the IV-fluid management plan and adjust the prescription for the electrolyte excess. Review contributing factors, continue monitoring, and report a clear IV-fluid mismanagement incident through the standard critical-incident process.",Not a complete acute hyperkalaemia treatment pathway.,NICE-CG174,"1.2.4, 1.2.6, 1.5.1, 1.5.2, Table 1",Yes,Pending
NICE-K-CKD-MONITOR-001,Potassium,Hyperkalaemia risk,Adult with CKD starting or increasing a renin-angiotensin system antagonist,An adult with CKD is starting a renin-angiotensin system antagonist or has a dose increase.,CKD status; eGFR; serum potassium; medicine and dose-change date.,Scheduled monitoring,Specific NICE monitoring guidance,Measure serum potassium and eGFR before treatment and repeat both between 1 and 2 weeks after starting treatment and after every dose increase. More frequent potassium monitoring may be needed with other medicines that promote hyperkalaemia.,This schedule applies to adults with CKD using a renin-angiotensin system antagonist; additional monitoring remains a clinical decision.,NICE-NG203,"1.6.15, 1.6.18",Yes,Pending
NICE-K-CKD-PRETREAT-001,Potassium,Hyperkalaemia risk,Adult with CKD before a renin-angiotensin system antagonist,Pretreatment serum potassium >5.0 mmol/L.,CKD status; pretreatment potassium; planned medicine.,Medication review,Specific NICE medication guidance,"Do not routinely offer the renin-angiotensin system antagonist. If hyperkalaemia prevents its use, assess and treat other factors that promote hyperkalaemia and recheck serum potassium.",Final prescribing decision remains with the responsible clinician.,NICE-NG203,"1.6.16, 1.6.17",Yes,Pending
NICE-K-CKD-STOP-001,Potassium,Hyperkalaemia,Adult with CKD taking a renin-angiotensin system antagonist,Potassium >=6.0 mmol/L after other medicines known to promote hyperkalaemia have been discontinued.,CKD status; potassium; current RAAS antagonist; other hyperkalaemia-promoting medicines and their status.,Urgent medication review,Specific NICE medication guidance,Stop the renin-angiotensin system antagonist when serum potassium is 6.0 mmol/L or above after other medicines known to promote hyperkalaemia have been discontinued.,Must verify contributing medicines and the complete clinical context.,NICE-NG203,"1.6.17, 1.6.19",Yes,Pending
NICE-K-SZC-ELIG-001,Potassium,Persistent hyperkalaemia,"Adult with CKD stage 3b-5 or heart failure, not on dialysis",Confirmed potassium >=5.5 mmol/L; an optimised RAAS-inhibitor dosage is not being taken because of hyperkalaemia; patient is not on dialysis.,Confirmed potassium; CKD stage or heart failure; RAAS-inhibitor optimisation status; dialysis status.,Specialist treatment consideration,NICE medicine eligibility flag,Sodium zirconium cyclosilicate is a NICE option when all stated eligibility conditions are confirmed.,Does not select a dose or replace standard emergency care.,NICE-TA1148,1.1,Yes,Pending
NICE-K-BINDER-OPTIONS-001,Potassium,Persistent hyperkalaemia,"Adult with CKD stage 3b-5 or heart failure, not on dialysis",Confirmed potassium >=6.0 mmol/L; RAAS inhibitor is absent or reduced because of hyperkalaemia; patient is not on dialysis.,Confirmed potassium; CKD stage or heart failure; RAAS-inhibitor status; dialysis status.,Specialist treatment consideration,NICE medicine eligibility flag,Patiromer and sodium zirconium cyclosilicate are NICE options when all stated eligibility conditions are confirmed.,"This is an eligibility result, not a medicine selection or dosing instruction. It does not replace standard emergency care.","NICE-TA623, NICE-TA1148",1.1,Yes,Pending
NICE-K-ACUTE-BINDER-OPTIONS-001,Potassium,Acute life-threatening hyperkalaemia,Adult in emergency care receiving standard emergency care,"Acute life-threatening hyperkalaemia and emergency-care setting are clinically confirmed, with standard care underway.",Acute life-threatening classification; emergency-care setting; confirmation that standard emergency care is underway.,Emergency treatment,NICE emergency-care medicine options,Sodium zirconium cyclosilicate or patiromer may be used as a NICE option for acute life-threatening hyperkalaemia only alongside standard care in emergency care.,"This eligibility result does not define or replace standard emergency care, select a medicine, or provide a dose.","NICE-TA1148, NICE-TA623",1.1,Yes,Pending
NICE-K-AKI-RRT-001,Potassium,Hyperkalaemia,Acute kidney injury with hyperkalaemia not responding to medical management,"AKI, hyperkalaemia and failure to respond to medical management.",AKI status; potassium trend; treatments already given; clinical condition; ECG/complications; fluid status.,Emergency specialist referral,Specific NICE escalation guidance,"Refer immediately for renal replacement therapy and involve nephrology and/or critical care. Base the decision to start therapy on the whole clinical condition, not an isolated potassium value.","The decision must be based on the whole clinical condition, not an isolated potassium value.",NICE-NG148,1.5.8 to 1.5.11,Yes,Pending
NICE-CA-PHPT-SCREEN-001,Adjusted calcium,Hypercalcaemia,Possible primary hyperparathyroidism,Possible primary hyperparathyroidism with albumin-adjusted serum calcium >=2.60 mmol/L.,Albumin-adjusted calcium; symptoms; fracture/osteoporosis history; renal stones; suspected PHPT.,Diagnostic assessment,Specific NICE diagnostic guidance,"Repeat albumin-adjusted serum calcium at least once. If it is 2.60 mmol/L or above on at least 2 occasions, measure PTH using a random sample with a concurrent albumin-adjusted calcium measurement. Do not use ionised calcium for this diagnostic pathway.","This is a diagnostic PHPT pathway, not acute general hypercalcaemia management. The engine does not infer a second calcium result or PTH result.",NICE-NG132,"1.1.1, 1.1.3 to 1.1.6, Terms used",Yes,Pending
NICE-CA-PHPT-REFER-001,Adjusted calcium,Hypercalcaemia,Confirmed primary hyperparathyroidism,"Symptoms of hypercalcaemia, end-organ disease, or adjusted calcium >=2.85 mmol/L.",Confirmed PHPT; adjusted calcium; symptoms; renal stones; fragility fracture or osteoporosis.,Specialist surgical referral,Specific NICE referral guidance,Refer to a surgeon with expertise in parathyroid surgery when one or more stated NICE criteria are present.,Applies only to confirmed primary hyperparathyroidism.,NICE-NG132,1.3.1,Yes,Pending
NICE-CA-PHPT-CONSIDER-REFER-001,Adjusted calcium,Hypercalcaemia,Confirmed primary hyperparathyroidism without a mandatory referral criterion,Primary hyperparathyroidism is confirmed but no criterion in recommendation 1.3.1 is confirmed.,Confirmed PHPT; adjusted calcium; symptoms; renal stones; fragility fracture or osteoporosis; end-organ disease.,Specialist referral consideration,Specific NICE referral guidance,Consider referral to a surgeon with expertise in parathyroid surgery even though none of the mandatory referral features in recommendation 1.3.1 is confirmed.,"Applies only to confirmed primary hyperparathyroidism and is a consider recommendation, not an automatic referral instruction.",NICE-NG132,1.3.2,Yes,Pending
NICE-NA-ADRENAL-001,Sodium,Hyponatraemia,Primary adrenal insufficiency,Persistent hyponatraemia despite the maximum fludrocortisone dose.,Confirmed primary adrenal insufficiency; sodium trend; fludrocortisone dose/status; specialist involvement.,Specialist endocrinology review,Specific context-based NICE guidance,Consider sodium chloride supplementation according to specialist endocrinology advice.,Applies only to primary adrenal insufficiency.,NICE-NG243,1.3.5,Yes,Pending
NICE-UNSUPPORTED-001,Any,Unsupported NICE-only scenario,No applicable NICE recommendation in the approved catalogue,The condition or clinical context does not match a NICE-supported rule.,Condition; context; existing local protocol; specialist availability.,Clinical review required,No definitive NICE-only management output,Do not generate treatment instructions. Display that an approved local protocol or specialist review is required.,"This is a safety rule, not a treatment recommendation.",,,Yes,Pending
